State,Name of legal aid organization,website,Phone number,Mailing address,"City, State",Zip Code,Additional resources,,,,,,,
Missouri,Carvin Cantin Mynarich,https://carvercantin.com/missouri-expungement/,N/A,N/A,,,expungement only became an option in missouri this year so there aren't currently any pro-bono/low-income focused organizations,,,,,,,
Montana,Montana Legal Services Helpline,http://www.mtlsa.org/get-legal-help/apply-legal-services/,1-800-666-6899.,N/A,,,https://mtoi.legalserver.org/modules/matter/extern_intake.php?pid=69&h=1e34a2,,,,,,,
Nebraska,Legal Aid of Nebraska,http://www.legalaidornebraska.org,402-348-1069,"209 South 19th Street, Suite 200","Omaha, Nebraska",68102,multiple offices,,,,,,,
Nevada,Nevada Legal Services,https://nlslaw.net/contact/,702-432-0404,530 South 6th Street,"Las Vegas, Nevada",89101,,,,,,,,
Nevada,Legal Aid Center of Southern Nevada,http://www.lacsn.org/what-we-do/free/classes/record-sealing,702-386-1070,725 East Charleston Boulavard,"Las Vegas, Nevada",89104,,,,,,,,
New Jersey,Legal Services of New Jersey,http://www/lsnj.org,(732) 572-9100,P.O. Box 1357,"Edison, NJ ",08818-1357,,,,,,,,
New Jersey,Essex-Newark Legal Services,N/A, 973-624-4500,5 Commerce Street 2nd floor,"Newark, New Jersey",7102,Multiple offices,,,,,,,
New Jersey,South Jersey Legal Services,N/A,1-800-496-4570,N/A,,,,,,,,,,
New Jersey,Northeast New Jersey Legal Services,https://www.lsnj.org/nnjls/contactUs.html,201-487-2166,,,, NNJLS@lsnj.org.,,,,,,,
New Jersey,Legal Services of Northwest Jersey,https://www.lsnj.org/lsnwj/index.htm,908-782-7979,,,,,,,,,,,
New Jersey,Central Jersey Legal Services,https://www.lsnj.org/cjls/offices.htm,609-695-6249,,,,,,,,,,,
New Jersey,Volunteer Lawyers for Justice,http://www.vljnj.org,(973) 645-1955,PO Box 32040,"Newark, NJ",7102,,,,,,,,
New Mexico,New Mexico Legal Aid,http://www.newmexicolegalaid.org,N/A,301 Gold Avenue SW P.O. Box 25486,"Albuquerque, New Mexico",87102,https://applications.neotalogic.com/a/nm-triage-production,,,,,,,
New York,Legal Action Center,https://lac.org/faqs/,212) 243-1313,225 Varick Street,"New York, New York",10014,initial intake on phone-- no expungement in new york but they can help with record sealing ,,,,,,,
New York,The Legal Aid Society,https://www.legalaidnyc.org/criminal/#locations,212-577-3300,N/a,,,,,,,,,,
New York,Legal Services NYC,http://www.legalservicesnyc.org,917-661-4500,"40 Worth Street, Suite 606","New York, New York",10013,,,,,,,,
New York,Community Service Society of New York,http://www.cssny.org,212-254-8900,"633 Third Avenue, 10th floor","New York, New York",10017,,,,,,,,
New York,Legal Aid Society of Mid-New York,http://www.lasmny.org/Mid-NY/HelpLine.shtm,1-877-777-6152,255 Genesse Street 2nd floor,"Utica, New York",13501,,,,,,,,
New York,LEgal Assistance of Western New York,https://www.lawny.org/node/108/contact-us,315-781-1465,361 South Main Street,"Geneva, New York",14456,multiple offices ,,,,,,,
New York,Center for Community Alternatives,http://www.communityalternatives.org,315-422-5638,"25 Chapel Street, 7th Floor","Syracuse, New York",13202,http://www.communityalternatives.org/mitigation/index.html,,,,,,,
North Carolina,Southern Coalition for Social Justice,http://www.southerncoalition.org/program-areas/criminal-justice/clean-slate/,919-323-3380 ,"1415 West Highway 54, Suite 101","Durham, North Carolina",27707,,,,,,,,
North Carolina,Legal Aid of North Carolina,http://www.legalaidnc.org/get-help/self-help-clinics/criminal-record-expunction,1-866-219-5262,224 South Dawson Street,"Raleigh, North Carolina",27601,http://www.legalaidnc.org/get-help/apply-online,,,,,,,
North Dakota,Legal Services of North Dakota,http://www.legalassist.org,800-634-5263,418 E Broadway #7,"Bismarck, North Dakota",58501,https://www.surveymonkey.com/r/LSNDLegalNeeds Multiple Offices,,,,,,,
Ohio,Ohio Legal Services,http://ohiolegalhelp.org/a2j_category/reentry/#top-section,866-529-6446,N/A,,,http://opd.ohio.gov/The-Library/County-Resources,,,,,,,
Ohio,Legal Aid Socierty of Cleveland,http://lasclev.org,888-817-3777 or 216-687-1900,1223 West Sixth Street,"Cleveland, Ohio",44113,,,,,,,,
Ohio,Legal Aid Society of Columbus,http://www.columbuslegalaid.org,614-241-2001, 1108 City Park Avenue ,"Columbus, Ohio",43206,,,,,,,,
Ohio,Franklin County Public Defender's Office,http://franklincountypa.gov/index.php?section=juvenile-probation_Other-Services_Expungements,717) 261-3863,"373 South High Street, 12th floor","Columbus, Ohio",43215,,,,,,,,
Ohio,Legal Aid of Western Ohio,http://legalaidline.lawolaw.org/apply-legal-help/,419-724-0030,"525 Jefferson Avenue, Suite 400","Toledo, Ohio",43604,multiple offices http://legalaidline.lawolaw.org/service-area/,,,,,,,
Ohio,Community Legal Aid,http://www.ohiolegalaid.org/pro-bono,800-529-6446 or 1-866-529-6446,10 W Broad St #950,"Columbus, OH",43215,,,,,,,,
Oklahoma,Legal Aid Services of Oklahoma,http://legalaidok.org,1-888-534-5243,2915 N. Classen Blvd. Ste 500,"Oklahoma City, OK ",73106,Multiple Offices,,,,,,,
Oklahoma,Oklahoma Indian Legal Services,http://www.oilsonline.org,405-943-6457,"4200 Perimeter Center Drive, Suite 222","Oklahoma City, Oklahoma",73112,,,,,,,,
Oregon,The Lawyers Campaining for Equal Justice,http://www.cej-oregon.org,503-295-8442,"620 SW Fifth Ave, Suite 1225","Portland, Oregon",97204,,,,,,,,
Rhode Island,Rhode Island Public Defender,http://www.ripd.org/expungement-sealingcriminalrecords.html#undefined14,401-222-3492,160 Pine Street,"Providence, Rhode Island",2903,,,,,,,,
Rhode Island,Rhode Island Legal Services,http://www.helprilaw.org,800-662-5034,"56 Pine Street, 4th flooer","Providence, Rhode Island",2903,,,,,,,,
South Carolina,South Carolina Legal Services,http://www.sclegal.org,888-346-5592,N/A,,,https://www.lawhelp.org/sc/online-intake Multiple Offices http://www.scfathersandfamilies.com/public/files/docs/Full%20Expungement%20Guide.pdf https://www.lawhelp.org/sc/find-legal-help?subtopic=expungements&topic=work,,,,,,,
South Dakota,Dakota Plains Legal Services,https://www.dpls.org or http://legalassist.org/,800-658-2297,160 Second Street,"Mission, South Dakota",57555,dpls9@gwtc.net,,,,,,,
South Dakota,East River Legal Services,http://erlservices.org/,605-336-9230,"335 North Main Avenue, Suite 300","Sioux Falls, South Dakota",57104,https://www.sdlawhelp.org/apply,,,,,,,
Tenessee,Legal Aid Society of Middle Tennessee and the Cumberlands,https://las.org/find-help/free-legal-help-clinics/,1-800-238-1443,N/A,,,Multiple Offices,,,,,,,
Tenessee,Expungement Mini-Clinic at University of Tennessee College of Law,https://law.utk.edu/clinics/expungement/,865-974-2331,"1505 West Cumberland Avenue, Suite 83","Knoxville, Tennessee",37996-1810,,,,,,,,
Tenessee,Tennessee Alliance for Legal Services,http://tals.org,1-888-395-9297,"50 Vantage Way, Suite 250","Nashville, Tennessee",37228,,,,,,,,
Tenessee,Tennessee Courts,https://www.tncourts.gov/expungements,(615) 741-2687 ,"511 Union Street Nashville City Center, Suite 600 ","Nashville, TN ",37219,,,,,,,,
Texas,Dallas Volunteer Attorney Program,http://dallasvolunteerattorneyprogram.org/get-help/,214-243-2236,1515 Main Street,"Dallas, Texas",75201,,,,,,,,
Texas,Texas Veterans Legal Assistance Project,http://www.tlsc.org/veterans.html,800-622-2520 Option 2,N/A,,,,,,,,,,
Texas,Legal Aid of Northwest Texas,http://internet.lanwt.org/locations,888-529-5277,N/A,,,multiple offices https://lanwtoi.legalserver.org/modules/matter/extern_intake.php?pid=132&h=f0baaf& ,,,,,,,
Utah,Utah Legal Services,http://www.utahlegalservices.org, 801-328-8891,https://www.utahlegalservices.org/node/18/,,,https://ulsoi.legalserver.org/modules/matter/extern_intake.php?pid=4&h=638cee Multiple Offices,,,,,,,
Utah,Utah Legal Clinic,https://utahlegalclinic.com/practice-areas/expungements#are-all-expungements-granted,801-328-9531,214 East 500 South,"Salt Lake City, Utah",84111,,,,,,,,
Vermont,N/A,https://www.lawyers.com/legal-info/research/vermont/vermont-expungement-and-record-sealing.html ,N/A,N/A,,,https://www.vermontjudiciary.org/self-help/application-waive-filing-fees-and-service-costs,,,,,,,
Virgina,Legal Services of Northern Virginia,http://www.lsnv.org,866-534-5243 or 703.778.6800,4080 Chain Bridge Road 1st floor,"Fairfax, Virginia",22030,https://svlas.kempscaseworks.com/app/,,,,,,,
Virgina,Southwest Virginia Legal Aid Society,http://www.swvalegalaid.org,276-783-8300,227 West Cherry Streer,"Marion, Virginia",24354,,,,,,,,
Washington,Northwest Justice Project,https://nwjustice.org/get-legal-help,1-800-621-4636. 211 ,"401 Second Avenue S, Suite 407","Seattle, Washington",98104,,,,,,,,
Washington,Center for Justice,https://cforjustice.org/legal-services/clearing-my-record/,509-835-5211,"35 West Main Street, Suite 300","Spokane, Washington",99201,the ydon't take walk ins,,,,,,,
West Virginia,Legal Aid of West Virginia,http://www.lawv.net,1-866-255-4370,"922 Quarrier Street, 4th floor","Charleston, West Virginia",25301,http://www.lawv.net/Get-Help/Apply-for-Help/Apply-Online,,,,,,,
Wisconsin,Legal Action of Wisconsin,http://www.legalaction.org,855-947-2529.  ,"230 West Wells Street, Room 800","Milwalkee, Wisconsin",53203,multiple offices ,,,,,,,
Wyoming,Legal Aid of Wyoming,http://www.lawyoming.org,1-877-432-9955,1813 Carey Avenue,"Cheynne, Wyoming",82001,multiple offices ,,,,,,,
